suite,class,template,instance,query_file,query_sha256,scale,bound_policy,notes
watdiv-perf,C,C1,00,paper/queries/watdiv/10M/C/C1.rq,ef8aa4a34b4e6f77cd2222ea98467b92ca1acc5ed05ba7efc6d7f7aff345f7a1,10M,unbound (no placeholder),
watdiv-perf,C,C2,00,paper/queries/watdiv/10M/C/C2.rq,3a541db29afdc134602c70294332f99a26badf7d0abb258173084dcef59f3af1,10M,unbound (no placeholder),EMPTY on our data
watdiv-perf,C,C3,00,paper/queries/watdiv/10M/C/C3.rq,8b244b13319b822a74e59eeb13abb60bb762b2e191e1bf3198b102b93135f740,10M,unbound (no placeholder),
watdiv-perf,O,O1,00,paper/queries/watdiv/10M/O/O1.rq,0f31130653f6c7f7dad353eb0c056676430f43d831aa1c986bb0e5cfe3f2b72c,10M,rebind Website10096 -> Website0 (min-IRI full-match),
watdiv-perf,O,O2,00,paper/queries/watdiv/10M/O/O2.rq,e2353d138cc41a9c8013909b8e8b380cf7ba04e2544b8ca784e13ce0c7009eb6,10M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,O,O3,00,paper/queries/watdiv/10M/O/O3.rq,8600634422cefcb5ad7bc23d2acb693e5f8bf0686ad4714d2eba90a935b2f2b3,10M,rebind Topic45 -> Topic0 (min-IRI full-match),
watdiv-perf,O,O4,00,paper/queries/watdiv/10M/O/O4.rq,c2e7f8e7377b1ac6cc1c202c8233c4b4c10a2b85eae74cbb49844b3515dd26f8,10M,rebind City199 -> City0 (min-IRI full-match),
watdiv-perf,O,O5,00,paper/queries/watdiv/10M/O/O5.rq,ec9af3cffe6976bcc27a5ca3ba0732c80fe7716160af6d25aa1d6b447b6300e2,10M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,M,M1,00,paper/queries/watdiv/10M/M/M1.rq,31cc3cc2a162131c645d8c00efac8198f154624658dbdf08952fdf2aa2fcc40f,10M,unbound MINUS (ours),
watdiv-perf,M,M2,00,paper/queries/watdiv/10M/M/M2.rq,57dabb9eb81d64dbc3cc422093691dfbcd45c8bc0072a0480b32c507db250930,10M,unbound MINUS (ours),
watdiv-perf,M,M3,00,paper/queries/watdiv/10M/M/M3.rq,143c016ebb5bf4d918995fb8a8437257e0f177fb04bcef9184c9058f18f3eefa,10M,unbound MINUS (ours),
watdiv-perf,M,M4,00,paper/queries/watdiv/10M/M/M4.rq,3fb5f004cde33422716d95d5c5cbacb234aca04af540babdfc6cd8420a43d11d,10M,unbound MINUS (ours),
watdiv-perf,M,M5,00,paper/queries/watdiv/10M/M/M5.rq,dbc6ab431c394a25feca14ac948b1ff1ee2c7bd219d3350f64cbec9447ef0e16,10M,unbound MINUS (ours),
watdiv-perf,L,L1,00,paper/queries/watdiv/100M/L/L1.rq,600c6f736028ac1dca0fa84f800a5b3b4f74bedfd8244d599a7c9b4e07bd041b,100M,rebind Website10096 -> Website1 (min-IRI full-match),
watdiv-perf,L,L2,00,paper/queries/watdiv/100M/L/L2.rq,64873fb3e0533f5e97269a846ba7be46358d4ae4e7b00ae160b34130e60e4ce6,100M,rebind City121 -> City0 (min-IRI full-match),
watdiv-perf,L,L3,00,paper/queries/watdiv/100M/L/L3.rq,6e68c33e9b346995ea7cedfa79c5123b2290df112a813135a2d0753aa4f34a04,100M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,L,L4,00,paper/queries/watdiv/100M/L/L4.rq,6a5c40f28fc1efcf93f4f8de194ff48179bad43fdcace9ac6f264dd26c62dadf,100M,rebind Topic45 -> Topic0 (min-IRI full-match),
watdiv-perf,L,L5,00,paper/queries/watdiv/100M/L/L5.rq,2e23cd396e2dd8542fcd6dc9541c69d45cb250a36faed0467b475b4adcca3ac6,100M,rebind City199 -> City0 (min-IRI full-match),
watdiv-perf,S,S1,00,paper/queries/watdiv/100M/S/S1.rq,11a13df922fdbee8f9776eaed6af62ffda103b2b406da774b3f49300860168da,100M,rebind Retailer8811 -> Retailer0 (min-IRI full-match),
watdiv-perf,S,S2,00,paper/queries/watdiv/100M/S/S2.rq,e634c02fe199569fe27370dfeca74deef380542216b43766499daf6e48f0b7a5,100M,rebind Country21 -> Country0 (min-IRI full-match),
watdiv-perf,S,S3,00,paper/queries/watdiv/100M/S/S3.rq,4e26d57d8fea5cd20a5edd26b3e286c7e2287bf17d8cbb9b1567590a068ac8f4,100M,rebind ProductCategory4 -> ProductCategory4 (min-IRI full-match),
watdiv-perf,S,S4,00,paper/queries/watdiv/100M/S/S4.rq,671868a81e6d66a398f91366390ceb3c4102f83d22f474a36fa5bf19079fedde,100M,rebind AgeGroup4 -> AgeGroup2 (min-IRI full-match),
watdiv-perf,S,S5,00,paper/queries/watdiv/100M/S/S5.rq,691e7a0abcd7232efe06742dc0cffd6f1c1bb58adb1206c47f9a3c8bb38753fb,100M,rebind ProductCategory2 -> ProductCategory2 (min-IRI full-match),
watdiv-perf,S,S6,00,paper/queries/watdiv/100M/S/S6.rq,3a9de4be91a376d912945053f743c79042392d6a11ce089a2d71c37c156ec248,100M,rebind SubGenre134 -> SubGenre0 (min-IRI full-match),
watdiv-perf,S,S7,00,paper/queries/watdiv/100M/S/S7.rq,6c8f2b502c6afedd00f5544bb49e027212b77b9a59795ef8c9b65d12c3234eb1,100M,rebind User818157 -> User1 (min-IRI full-match),
watdiv-perf,F,F1,00,paper/queries/watdiv/100M/F/F1.rq,dbdf1c8c5e356208a245642d65bdf739a745f5339663addadfdb6363c1aeab02,100M,rebind Topic245 -> Topic0 (min-IRI full-match),
watdiv-perf,F,F2,00,paper/queries/watdiv/100M/F/F2.rq,a2d067af87788371d0895c53af5536df3cc59090adda8fe35f6c9b1491962642,100M,rebind SubGenre79 -> SubGenre0 (min-IRI full-match),
watdiv-perf,F,F3,00,paper/queries/watdiv/100M/F/F3.rq,ab4a33937e9d2bc9b501268b85f184fcbc070f1c35d8b6f2a148df9d906de693,100M,rebind SubGenre73 -> SubGenre0 (min-IRI full-match),
watdiv-perf,F,F4,00,paper/queries/watdiv/100M/F/F4.rq,95e319658ada1f90ea7900df6e9a7608f72e06ecb2da9d8ad67afe7db54c5464,100M,rebind Topic232 -> Topic0 (min-IRI full-match),
watdiv-perf,F,F5,00,paper/queries/watdiv/100M/F/F5.rq,5ca90afb3951e0444bf3024c77058dedfd92664870dc85d282ed837b0894ed6f,100M,rebind Retailer222 -> Retailer0 (min-IRI full-match),
watdiv-perf,C,C1,00,paper/queries/watdiv/100M/C/C1.rq,ef8aa4a34b4e6f77cd2222ea98467b92ca1acc5ed05ba7efc6d7f7aff345f7a1,100M,unbound (no placeholder),
watdiv-perf,C,C2,00,paper/queries/watdiv/100M/C/C2.rq,3a541db29afdc134602c70294332f99a26badf7d0abb258173084dcef59f3af1,100M,unbound (no placeholder),
watdiv-perf,C,C3,00,paper/queries/watdiv/100M/C/C3.rq,8b244b13319b822a74e59eeb13abb60bb762b2e191e1bf3198b102b93135f740,100M,unbound (no placeholder),
watdiv-perf,O,O1,00,paper/queries/watdiv/100M/O/O1.rq,0f31130653f6c7f7dad353eb0c056676430f43d831aa1c986bb0e5cfe3f2b72c,100M,rebind Website10096 -> Website0 (min-IRI full-match),
watdiv-perf,O,O2,00,paper/queries/watdiv/100M/O/O2.rq,e2353d138cc41a9c8013909b8e8b380cf7ba04e2544b8ca784e13ce0c7009eb6,100M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,O,O3,00,paper/queries/watdiv/100M/O/O3.rq,8600634422cefcb5ad7bc23d2acb693e5f8bf0686ad4714d2eba90a935b2f2b3,100M,rebind Topic45 -> Topic0 (min-IRI full-match),
watdiv-perf,O,O4,00,paper/queries/watdiv/100M/O/O4.rq,c2e7f8e7377b1ac6cc1c202c8233c4b4c10a2b85eae74cbb49844b3515dd26f8,100M,rebind City199 -> City0 (min-IRI full-match),
watdiv-perf,O,O5,00,paper/queries/watdiv/100M/O/O5.rq,ec9af3cffe6976bcc27a5ca3ba0732c80fe7716160af6d25aa1d6b447b6300e2,100M,rebind Website6472 -> Website0 (min-IRI full-match),
watdiv-perf,M,M1,00,paper/queries/watdiv/100M/M/M1.rq,31cc3cc2a162131c645d8c00efac8198f154624658dbdf08952fdf2aa2fcc40f,100M,unbound MINUS (ours),
watdiv-perf,M,M2,00,paper/queries/watdiv/100M/M/M2.rq,57dabb9eb81d64dbc3cc422093691dfbcd45c8bc0072a0480b32c507db250930,100M,unbound MINUS (ours),
watdiv-perf,M,M3,00,paper/queries/watdiv/100M/M/M3.rq,143c016ebb5bf4d918995fb8a8437257e0f177fb04bcef9184c9058f18f3eefa,100M,unbound MINUS (ours),
watdiv-perf,M,M4,00,paper/queries/watdiv/100M/M/M4.rq,3fb5f004cde33422716d95d5c5cbacb234aca04af540babdfc6cd8420a43d11d,100M,unbound MINUS (ours),
watdiv-perf,M,M5,00,paper/queries/watdiv/100M/M/M5.rq,dbc6ab431c394a25feca14ac948b1ff1ee2c7bd219d3350f64cbec9447ef0e16,100M,unbound MINUS (ours),
